id_proposta,id_cliente,codigo_fipe,score_credito,renda_mensal,percentual_entrada
227784,58556,004506-3,938,16513.87,0.25
227785,36606,007018-1,735,3290.03,0.12
227786,92976,021452-3,987,24837.57,0.33
227787,12260,004275-7,675,10402.16,0.32
227788,40267,001570-9,933,18792.96,0.41
227789,68369,080028-7,484,25350.68,0.21
227790,60060,016016-4,856,25764.43,0.17
227791,26833,071035-0,391,20085.93,0.5
227792,13498,009215-0,930,6371.32,0.51
227793,75310,008327-5,564,27437.7,0.11
227794,56729,005028-8,788,11223.2,0.67
227795,20518,025133-0,796,25719.97,0.16
227796,88037,028032-1,943,22935.4,0.68
227797,32254,008064-0,923,26438.2,0.4
227798,91438,005006-7,989,8746.81,0.62
227799,35545,004532-2,809,10957.56,0.14
227800,13345,057040-0,897,19555.25,0.35
227801,90906,008246-5,588,20370.03,0.28
227802,66366,015163-7,812,25147.69,0.41
227803,56721,015133-5,301,16063.8,0.13
227804,69829,080039-2,479,20856.01,0.68
227805,19642,004518-7,504,13382.0,0.6
227806,93375,033249-6,561,24636.55,0.28
227807,99217,009250-9,732,3021.92,0.22
227808,74533,005095-4,695,17957.68,0.22
227809,82571,021533-3,809,17507.26,0.35
227810,63382,005211-6,404,29558.56,0.54
227811,43299,002147-4,504,15881.91,0.4
227812,45035,009017-4,738,20424.73,0.34
227813,33583,008160-4,724,20698.82,0.34
227814,32105,021192-3,373,27004.95,0.13
227815,91666,004027-4,684,10804.68,0.16
227816,23736,001536-9,747,8841.19,0.26
227817,52281,004093-2,548,13357.64,0.46
227818,89351,015251-0,685,7429.6,0.23
227819,99932,001245-9,686,19869.94,0.3
227820,34312,005448-8,957,26938.32,0.36
227821,87780,016034-2,869,17886.01,0.36
227822,52668,021500-7,767,22671.84,0.69
227823,65652,095004-1,545,16656.0,0.25
227824,21718,085021-7,651,13620.3,0.16
227825,92320,020008-5,927,29055.42,0.12
227826,53997,029142-0,963,4842.1,0.53
227827,41428,003133-0,657,14040.92,0.26
227828,68822,001366-8,921,15806.61,0.65
227829,36490,005078-4,800,14603.12,0.51
227830,60209,025307-3,956,20083.92,0.21
227831,57351,001124-0,619,11131.79,0.44
227832,51001,005022-9,934,17356.12,0.32
227833,55856,024133-4,464,24286.02,0.61
227834,26410,005250-7,877,15799.5,0.55
227835,62685,009007-7,442,27420.19,0.42
227836,45386,004427-0,392,22049.82,0.51
227837,84898,056011-1,498,10190.74,0.67
227838,99547,029179-0,847,14082.43,0.6
227839,82578,003405-3,347,9453.2,0.69
227840,35286,084002-5,519,14677.02,0.57
227841,21391,005144-6,644,12243.23,0.44
227842,36999,074001-2,483,22883.3,0.39
227843,12018,021143-5,733,20709.45,0.62
227844,22952,071037-7,969,8610.41,0.19
227845,91776,021295-4,909,4696.88,0.49
227846,96798,023136-3,861,22884.22,0.51
227847,29282,001239-4,734,29103.86,0.64
227848,97995,021141-9,924,22157.28,0.39
227849,64354,023086-3,956,22320.16,0.5
227850,27942,022016-7,944,13263.36,0.23
227851,70938,001412-5,633,21828.99,0.62
227852,11722,021074-9,742,18231.36,0.68
227853,46820,021390-0,492,28445.44,0.19
227854,77187,001115-0,318,9242.57,0.15
227855,97142,015201-3,332,26766.26,0.34
227856,44546,021454-0,733,19370.88,0.69
227857,75030,073002-5,668,28967.94,0.65
227858,76219,028073-9,422,14085.66,0.28
227859,28394,001379-0,742,26078.56,0.55
227860,68559,016042-3,301,15939.42,0.59
227861,56705,002203-9,497,8090.54,0.16
227862,94502,002048-6,849,16962.29,0.13
227863,36469,009073-5,456,22404.09,0.49
227864,84041,005391-0,473,14572.09,0.46
227865,71338,084003-3,871,12492.73,0.66
227866,15492,024172-5,818,12542.12,0.38
227867,26827,005037-7,682,27147.65,0.39
227868,37492,033024-8,471,8709.46,0.17
227869,78802,033134-1,620,20913.57,0.19
227870,81445,071014-8,738,7145.01,0.31
227871,22869,025196-8,700,14804.92,0.4
227872,49782,055012-4,981,28205.9,0.28
227873,31863,015157-2,723,29435.96,0.67
227874,71987,028034-8,771,3801.51,0.19
227875,54055,021254-7,614,23654.14,0.57
227876,83355,021285-7,417,26940.31,0.62
227877,39136,031014-0,691,15570.92,0.33
227878,24837,004454-7,636,15492.66,0.65
227879,85592,004538-1,480,10245.68,0.58
227880,10715,001405-2,593,21994.0,0.57
227881,27275,033081-7,598,10974.71,0.51
227882,30191,003082-1,331,28230.62,0.41
227883,92420,003032-5,517,9552.89,0.18
227884,70126,004502-0,478,17176.93,0.61
227885,61792,011106-6,457,26845.55,0.15
227886,18894,004009-6,350,8927.99,0.32
227887,94253,002069-9,475,14628.15,0.64
227888,94114,023011-1,576,24586.79,0.69
227889,33321,008203-1,837,25096.42,0.28
227890,34959,057053-2,568,3558.73,0.26
227891,20515,003401-0,750,25814.06,0.55
227892,84613,025275-1,769,8052.4,0.59
227893,75196,308002-1,920,24450.56,0.46
227894,31443,018031-9,768,29785.31,0.67
227895,63550,009218-5,349,21090.47,0.32
227896,85979,025075-9,419,19062.2,0.68
227897,47208,023092-8,918,5801.42,0.39
227898,11783,005244-2,657,13239.06,0.18
227899,88649,003146-1,447,21704.83,0.46
227900,80921,021084-6,376,13989.77,0.48
227901,16982,083015-1,492,8948.66,0.39
227902,88943,001355-2,381,3692.65,0.63
227903,25316,005306-6,706,10310.28,0.37
227904,77966,021526-0,580,24113.43,0.22
227905,12936,005374-0,597,5225.26,0.62
227906,87400,005287-6,513,20017.49,0.45
227907,84843,031004-2,335,21387.76,0.32
227908,16709,001362-5,720,5370.94,0.55
227909,30707,008251-1,315,16544.37,0.15
227910,49384,084004-1,671,25791.82,0.48
227911,45187,017034-8,523,10092.83,0.68
227912,76935,025049-0,509,6829.18,0.18
227913,52536,011237-2,677,7548.34,0.35
227914,34188,025167-4,797,12232.41,0.4
227915,24245,004103-3,553,4224.68,0.36
227916,98907,009201-0,419,3863.32,0.53
227917,42286,008156-6,784,25736.71,0.15
227918,97229,002181-4,521,28667.64,0.25
227919,44303,029017-3,512,6107.96,0.12
227920,96673,017034-8,900,16466.23,0.17
227921,51049,015240-4,872,26313.51,0.49
227922,90901,004423-7,548,26564.03,0.32
227923,66200,015248-0,507,7418.79,0.24
227924,88986,018057-2,462,8994.81,0.11
227925,79726,008034-9,587,13923.27,0.48
227926,52861,029017-3,612,19218.36,0.15
227927,53639,025190-9,885,18717.5,0.31
227928,33937,099002-7,451,29010.18,0.46
227929,69514,003511-4,845,12913.8,0.47
227930,82988,016040-7,712,27479.82,0.43
227931,13960,011203-8,521,5469.53,0.25
227932,49602,024197-0,617,17116.19,0.61
227933,20564,004548-9,660,27050.36,0.69
227934,75533,005337-6,714,3641.45,0.4
227935,57510,021508-2,745,9128.94,0.61
227936,15091,001163-0,915,14925.85,0.58
227937,72335,004514-4,635,22825.19,0.32
227938,40519,005401-1,649,10187.13,0.24
227939,13710,021441-8,593,18353.92,0.23
227940,73564,068004-4,342,6861.42,0.33
227941,69977,023201-7,433,19513.77,0.35
227942,74975,055005-1,317,17287.92,0.11
227943,67614,002207-1,600,29390.02,0.53
227944,17988,025029-5,818,4209.96,0.23
227945,45754,011049-3,378,25131.26,0.51
227946,33074,028013-5,918,16910.0,0.67
227947,31198,024148-2,328,25111.19,0.35
227948,86045,003175-5,657,3051.14,0.18
227949,35180,005233-7,930,21945.24,0.24
227950,58068,085020-9,827,6768.22,0.45
227951,26560,003124-0,743,5116.62,0.56
227952,52674,005079-2,362,26487.51,0.13
227953,75152,005030-0,605,24667.04,0.1
227954,48938,002093-1,304,7388.62,0.21
227955,45391,022024-8,957,6654.34,0.61
227956,38731,025326-0,900,23344.27,0.22
227957,94698,008070-5,527,20587.73,0.59
227958,35236,011209-7,854,8979.96,0.2
227959,47133,008089-6,367,24455.44,0.12
227960,86915,034023-5,559,24679.93,0.66
227961,14340,027055-5,684,18641.88,0.56
227962,80291,004146-7,524,5445.42,0.44
227963,58731,001094-4,359,4722.91,0.3
227964,67428,023078-2,863,14049.13,0.67
227965,62822,015237-4,379,15267.87,0.32
227966,51866,024271-3,450,8297.4,0.55
227967,95441,025196-8,364,13014.39,0.24
227968,93795,015084-3,612,5677.06,0.11
227969,51813,005325-2,792,18327.54,0.63
227970,76042,024012-5,535,20229.9,0.43
227971,84135,038001-6,502,10578.3,0.42
227972,97310,022144-9,940,5444.77,0.32
227973,18715,078014-6,429,19789.09,0.29
227974,97533,028008-9,549,4144.52,0.28
227975,65902,025114-3,651,23622.01,0.63
227976,24783,005476-3,905,28183.69,0.3
227977,99012,005227-2,843,16336.73,0.4
227978,77933,033151-1,571,23870.53,0.25
227979,50680,011121-0,390,25132.12,0.68
227980,69179,005190-0,592,13781.21,0.27
227981,49970,025241-7,841,8122.35,0.16
227982,83236,003067-8,886,17411.02,0.54
227983,14718,035163-6,652,11347.92,0.69
227984,37111,035042-7,542,3242.04,0.21
227985,48718,005553-0,584,20027.71,0.13
227986,85769,003064-3,519,11998.03,0.23
227987,89707,021221-0,473,12877.25,0.65
227988,20726,033217-8,701,19004.93,0.15
227989,27139,005157-8,438,26426.76,0.18
227990,75681,017106-9,957,18503.73,0.33
227991,54782,031002-6,992,22609.22,0.19
227992,29958,025083-0,663,21869.18,0.61
227993,31307,008046-2,846,29023.7,0.64
227994,79134,025092-9,399,16428.72,0.12
227995,23583,083005-4,949,6599.59,0.32
227996,27013,018004-1,357,6594.79,0.6
227997,57984,035089-3,772,13389.57,0.51
227998,54874,003288-3,834,3141.76,0.12
227999,50197,001127-4,633,27246.57,0.13
228000,19096,012009-0,740,16695.86,0.2
228001,81091,033145-7,485,13722.84,0.33
228002,83533,001145-2,715,26490.34,0.37
228003,86345,009075-1,506,25347.97,0.49
228004,35618,022052-3,343,9089.06,0.57
228005,19868,009116-2,716,16476.0,0.4
228006,31882,003062-7,441,12863.71,0.67
228007,30639,029017-3,808,29494.83,0.29
228008,46963,073032-7,301,17794.13,0.42
228009,70464,080020-1,505,24228.4,0.37
228010,39470,021092-7,864,23544.82,0.7
228011,80714,001499-0,838,21347.18,0.66
228012,73670,002207-1,797,28423.75,0.46
228013,86434,001312-9,754,26917.28,0.39
228014,81102,029034-3,501,23542.87,0.59
228015,30353,091006-6,647,17585.26,0.58
228016,48188,003446-0,931,21550.51,0.3
228017,43375,017086-0,686,14909.19,0.29
228018,81210,016022-9,811,15917.81,0.4
228019,32272,005414-3,717,11507.87,0.27
228020,31716,005340-6,467,28624.75,0.26
228021,99276,079002-8,674,29983.42,0.23
228022,98706,017038-0,614,5593.82,0.64
228023,45162,023122-3,335,11631.89,0.32
228024,86587,011059-0,926,11912.66,0.45
228025,83606,058003-1,407,3227.57,0.37
228026,39472,022018-3,599,17568.8,0.13
228027,68504,018015-7,494,19095.28,0.53
228028,65441,005433-0,327,26019.96,0.41
228029,71401,008180-9,955,8852.08,0.29
228030,68835,018098-0,843,10419.56,0.35
228031,66936,021088-9,473,20996.67,0.24
228032,96518,021152-4,846,26260.61,0.31
228033,41518,011197-0,344,17703.39,0.54
228034,94935,024206-3,845,12524.76,0.56
228035,64462,022022-1,327,6132.24,0.47
228036,37313,028001-1,870,20392.23,0.65
228037,26110,035037-0,539,22123.51,0.2
228038,44816,001327-7,752,23893.32,0.42
228039,71549,004150-5,390,28889.95,0.52
228040,97889,004385-0,444,7252.6,0.14
228041,38530,307004-2,580,18005.91,0.25
228042,10893,018088-2,312,19909.15,0.5
228043,36885,005229-9,891,19016.93,0.69
228044,54560,029093-9,433,3447.25,0.41
228045,23613,011103-1,323,3818.2,0.63
228046,89852,003108-9,903,22073.16,0.25
228047,16087,021105-2,389,10417.26,0.4
228048,45701,029131-5,610,13287.34,0.15
228049,28665,015068-1,954,14612.06,0.37
228050,39622,086005-0,480,23639.52,0.31
228051,92403,008024-1,728,6387.42,0.59
228052,51989,015244-7,972,16587.59,0.58
228053,54741,008016-0,453,23587.24,0.55
228054,88700,060002-4,796,18960.41,0.46
228055,30163,005540-9,598,11250.15,0.31
228056,81637,035156-3,719,25048.82,0.47
228057,69175,022178-3,796,17310.4,0.53
228058,43546,089015-4,310,6777.79,0.53
228059,13475,021037-4,335,29289.53,0.39
228060,80259,004322-2,621,13666.56,0.65
228061,24890,057054-0,503,27088.02,0.12
228062,33270,013029-0,884,7035.88,0.22
228063,16713,088005-1,812,7103.13,0.16
228064,84137,015135-1,876,13808.11,0.35
228065,75317,009007-7,875,28507.7,0.49
228066,75117,021099-4,389,17798.49,0.4
228067,92979,005405-4,414,22977.4,0.41
228068,72594,004034-7,705,14385.13,0.54
228069,93520,005105-5,399,21600.91,0.51
228070,88271,016001-6,559,28813.19,0.18
228071,94153,009168-5,827,7942.97,0.3
228072,66505,027048-2,899,11957.0,0.15
228073,52257,022082-5,986,21607.5,0.63
228074,89510,021248-2,633,24901.79,0.6
228075,56492,004291-9,802,19088.83,0.67
228076,86159,005309-0,703,24620.91,0.62
228077,25395,080003-1,826,7280.87,0.64
228078,82005,008269-4,539,29041.38,0.17
228079,35040,001474-5,396,21160.87,0.4
228080,78702,021151-6,589,19197.85,0.65
228081,31637,025269-7,820,4677.78,0.59
228082,77745,029138-2,629,22944.19,0.63
228083,18747,021099-4,943,25685.31,0.43
228084,30250,001476-1,393,5334.21,0.68
228085,87737,025070-8,892,3856.69,0.61
228086,64040,008206-6,599,21244.56,0.22
228087,41305,017087-9,834,10834.7,0.65
228088,75318,030009-8,910,14938.69,0.53
228089,74237,091010-4,802,3370.52,0.22
228090,93110,021192-3,962,7042.7,0.16
228091,62362,011141-4,397,14118.06,0.61
228092,20096,005488-7,634,12303.73,0.17
228093,85764,005215-9,822,25674.96,0.59
228094,19218,022057-4,355,11152.61,0.54
228095,94338,008082-9,718,18411.7,0.17
228096,57381,001429-0,354,7437.99,0.18
228097,94483,003506-8,885,8979.59,0.55
228098,29335,023012-0,302,3384.92,0.13
228099,56861,008159-0,482,21311.44,0.6
228100,39907,001179-7,949,14139.09,0.69
228101,92189,001588-1,556,16385.02,0.55
228102,49387,024157-1,372,21979.62,0.66
228103,97567,023016-2,668,3189.74,0.69
228104,84655,015053-3,710,10937.58,0.2
228105,67407,015046-0,306,8128.2,0.18
228106,75262,008193-0,508,10366.38,0.11
228107,14555,004488-1,466,4306.0,0.19
228108,56095,025125-9,790,15724.78,0.68
228109,74051,024007-9,814,16778.2,0.13
228110,11042,091014-7,539,15427.02,0.68
228111,14188,021363-2,648,8191.67,0.21
228112,88596,033184-8,481,21257.4,0.54
228113,68153,024167-9,559,15810.38,0.62
228114,20233,004405-9,379,27183.07,0.51
228115,13088,023076-6,518,17672.55,0.35
228116,11646,022112-0,972,5257.77,0.56
228117,23127,008078-0,507,9757.69,0.13
228118,42615,005516-6,705,13330.58,0.36
228119,76023,057049-4,785,21974.76,0.55
228120,25453,003166-6,858,4217.96,0.42
228121,62233,005162-4,890,26715.66,0.45
228122,44515,024233-0,388,12799.4,0.45
228123,68092,003041-4,307,27878.62,0.35
228124,92447,001228-9,379,12960.15,0.5
228125,75000,001001-4,872,23796.99,0.13
228126,93087,001018-9,734,16520.5,0.46
228127,71993,015036-3,850,21459.49,0.29
228128,63762,018079-3,974,6989.8,0.26
228129,91814,001293-9,364,27492.49,0.12
228130,96392,001429-0,925,22275.46,0.51
228131,87467,017071-2,711,24253.29,0.18
228132,32188,014067-8,346,14975.6,0.15
228133,76019,002072-9,416,26760.6,0.32
228134,10451,001363-3,577,7375.68,0.22
228135,14069,001248-3,813,10742.42,0.4
228136,74274,017015-1,497,9056.12,0.44
228137,23386,009227-4,929,18914.57,0.23
228138,17207,005110-1,713,10963.32,0.52
228139,48439,034013-8,417,28390.59,0.63
228140,62285,011009-4,641,6501.63,0.48
228141,28157,033101-5,656,24742.48,0.26
228142,97542,021386-1,977,22459.94,0.65
228143,84726,004270-6,768,29906.93,0.38
228144,93985,017107-7,425,4753.61,0.13
228145,51357,029156-0,969,22424.72,0.39
228146,24929,021531-7,892,10635.94,0.46
228147,58747,024012-5,602,5582.38,0.68
228148,17913,003462-2,521,25126.7,0.47
228149,85531,008170-1,845,9848.28,0.19
228150,36727,025271-9,995,11484.07,0.57
228151,11946,017052-6,720,12436.55,0.68
228152,71061,020012-3,651,12952.38,0.6
228153,76930,024068-0,719,18697.61,0.55
228154,71472,001333-1,678,11389.41,0.51
228155,77957,008292-9,818,7333.19,0.14
228156,95839,003085-6,636,16812.92,0.3
228157,29467,004169-6,476,10469.49,0.55
228158,34504,005311-2,535,20350.09,0.51
228159,86516,015197-1,968,24578.35,0.5
228160,11844,015035-5,550,9772.72,0.64
228161,44572,014008-2,720,22619.8,0.68
228162,94423,023037-5,881,26708.49,0.42
228163,93813,079003-6,739,18286.22,0.67
228164,32975,009078-6,657,16860.61,0.42
228165,29449,015233-1,670,3092.2,0.55
228166,29459,035173-3,762,5458.7,0.13
228167,76795,033121-0,608,22682.52,0.45
228168,28604,021267-9,479,4860.46,0.25
228169,89395,003417-7,652,13119.22,0.35
228170,70140,005315-5,538,28106.5,0.69
228171,35362,031028-0,896,14105.21,0.4
228172,37943,002215-2,467,21074.11,0.56
228173,31319,003085-6,773,9069.69,0.64
228174,61050,025040-6,603,12235.5,0.29
228175,17697,080031-7,522,28014.16,0.36
228176,98611,025336-7,845,20020.25,0.11
228177,63655,003328-6,324,26776.02,0.66
228178,38735,004379-6,373,16750.17,0.61
228179,41293,055025-6,872,29563.67,0.34
228180,79485,015044-4,439,18077.42,0.16
228181,86195,004474-1,904,29047.12,0.6
228182,18010,033043-4,458,15543.61,0.19
228183,99359,009015-8,791,21788.34,0.14
228184,91936,025337-5,312,24989.87,0.39
228185,50727,304002-0,843,8540.2,0.65
228186,24787,003059-7,423,12158.74,0.61
228187,83442,022063-9,757,29759.87,0.16
228188,23303,004108-4,346,23429.04,0.47
228189,76802,068005-2,913,5512.78,0.41
228190,63448,004563-2,869,24443.23,0.64
228191,79513,004007-0,322,26412.92,0.48
228192,16068,005170-5,717,22988.52,0.38
228193,41227,003189-5,731,10622.62,0.18
228194,22740,015182-3,711,20353.79,0.45
228195,98333,024164-4,691,12258.42,0.44
228196,74745,082006-7,840,3481.01,0.29
228197,17791,024232-2,701,5704.0,0.68
228198,10485,004412-1,912,13395.63,0.27
228199,55048,001075-8,998,25435.45,0.45
228200,40695,027050-4,543,4473.24,0.26
228201,47441,004131-9,352,23183.83,0.28
228202,10337,004377-0,574,28479.26,0.22
228203,25092,025192-5,736,25174.12,0.47
228204,66052,008028-4,894,11682.69,0.1
228205,11471,005543-3,348,9586.51,0.19
228206,61194,009120-0,548,17120.34,0.15
228207,54388,098001-3,646,28664.23,0.17
228208,82025,033047-7,435,3486.55,0.44
228209,68045,008177-9,720,10429.07,0.37
228210,83392,018032-7,948,6002.61,0.23
228211,71088,001238-6,766,24596.13,0.46
228212,84901,083029-1,360,29395.14,0.49
228213,15664,001479-6,809,6451.88,0.11
228214,98859,035052-4,906,22407.91,0.44
228215,15379,001014-6,379,26133.44,0.43
228216,77660,020020-4,873,20793.51,0.22
228217,41536,025091-0,845,29254.46,0.34
228218,14991,008233-3,482,15784.49,0.2
228219,82330,001087-1,347,25316.87,0.29
228220,38359,025102-0,912,6492.35,0.59
228221,59302,029038-6,947,6621.09,0.61
228222,28043,009078-6,417,13020.44,0.69
228223,98059,003038-4,498,14881.56,0.48
228224,19070,011141-4,492,7939.18,0.36
228225,82735,011007-8,699,8256.43,0.12
228226,94239,023001-4,500,27472.6,0.27
228227,94803,009122-7,454,15042.33,0.49
228228,24133,001334-0,341,23784.93,0.12
228229,66955,027055-5,601,29667.88,0.31
228230,38571,021133-8,373,3529.79,0.17
228231,36991,001587-3,434,9194.71,0.52
228232,87115,015249-8,391,27173.51,0.47
228233,59741,023088-0,831,15524.31,0.52
228234,94539,033246-1,343,29235.4,0.46
228235,31871,003360-0,909,14170.41,0.17
228236,16223,027023-7,392,5184.28,0.47
228237,24197,018093-9,412,23518.92,0.23
228238,84923,004505-5,609,11268.99,0.36
228239,90375,005311-2,799,10568.53,0.45
228240,73196,008129-9,724,3096.1,0.18
228241,89432,003358-8,813,23056.92,0.4
228242,51525,025167-4,545,8359.99,0.7
228243,26198,033190-2,743,14805.59,0.38
228244,44524,022189-9,444,13554.27,0.6
228245,94293,003169-0,629,27669.43,0.23
228246,28515,009094-8,331,5181.1,0.45
228247,32027,029070-0,547,8811.95,0.17
228248,23792,033210-0,314,27909.27,0.47
228249,91313,024114-8,593,28099.55,0.54
228250,95330,024026-5,485,7631.21,0.33
228251,42544,020016-6,359,15592.65,0.42
228252,94287,011054-0,920,6835.01,0.61
228253,95263,001489-3,684,23029.59,0.38
228254,33665,033046-9,598,12577.31,0.2
228255,41126,005284-1,308,5171.5,0.38
228256,29481,003230-1,536,13184.44,0.35
228257,33549,004296-0,435,25422.41,0.14
228258,78872,004526-8,822,16738.14,0.12
228259,83693,013031-1,796,19578.09,0.16
228260,62236,021312-8,581,11616.08,0.69
228261,73983,008228-7,754,16435.63,0.5
228262,46155,032005-6,979,22925.83,0.18
228263,47481,005081-4,821,8373.0,0.13
228264,77967,002074-5,367,7667.65,0.62
228265,92561,008223-6,334,20702.47,0.41
228266,30446,028068-2,555,19565.28,0.28
228267,18507,024207-1,531,20369.39,0.48
228268,43208,055026-4,912,26065.03,0.19
228269,27522,017035-6,579,28348.13,0.28
228270,57402,033244-5,487,27088.68,0.46
228271,35490,001071-5,741,10990.92,0.56
228272,48011,095015-7,453,12790.27,0.66
228273,45071,003243-3,486,13368.96,0.46
228274,57754,003040-6,665,3415.05,0.36
228275,55102,009015-8,582,28930.26,0.41
228276,24040,008250-3,358,5564.68,0.14
228277,17046,024198-9,713,3899.41,0.39
228278,49374,024044-3,715,13720.93,0.27
228279,46189,004110-6,412,20945.68,0.3
228280,93998,011162-7,742,18624.41,0.18
228281,96070,005471-2,423,22323.03,0.68
228282,44968,035157-1,798,26705.44,0.31
228283,30935,021384-5,461,8908.33,0.6
228284,65581,015088-6,428,14855.06,0.3
228285,19009,022163-5,508,3679.15,0.47
228286,56989,012015-4,779,13246.33,0.48
228287,56876,004314-1,733,17672.58,0.44
228288,77482,004244-7,705,13604.76,0.36
228289,46724,008115-9,542,3199.32,0.12
228290,61377,004228-5,964,24432.55,0.52
228291,78861,027057-1,401,29120.86,0.28
228292,18699,001570-9,892,29180.24,0.38
228293,13745,004003-7,769,11447.5,0.63
228294,54837,017089-5,922,5752.04,0.56
228295,40794,015088-6,626,3204.06,0.61
228296,31198,011095-7,809,9376.78,0.44
228297,67803,004384-2,990,3353.62,0.29
228298,23489,008095-0,516,29035.99,0.45
228299,60557,004177-7,604,28609.65,0.24
228300,71439,021162-1,918,24324.84,0.19
228301,32474,001500-8,463,29649.08,0.65
228302,66439,033191-0,806,20115.84,0.67
228303,93956,005488-7,769,6599.04,0.24
228304,65186,016056-3,672,24920.99,0.19
228305,78213,021505-8,580,21223.15,0.34
228306,65296,009311-4,864,16355.65,0.21
228307,44512,016016-4,414,7368.54,0.58
228308,86711,021013-7,586,16555.12,0.55
228309,11177,023164-9,923,5576.43,0.63
228310,10761,008234-1,917,7404.98,0.68
228311,16458,022018-3,432,8536.4,0.25
228312,69698,029072-6,874,9977.95,0.38
228313,64775,083011-9,327,23142.91,0.59
228314,63866,011249-6,856,7236.2,0.21
228315,30110,035009-5,603,14021.27,0.47
228316,93853,090005-2,900,7395.72,0.61
228317,71446,021510-4,746,22653.16,0.17
228318,38433,008194-9,330,24406.02,0.68
228319,82715,021287-3,619,15763.06,0.24
228320,24849,021325-0,692,26780.75,0.68
228321,79980,004336-2,393,24919.37,0.55
228322,78500,008110-8,768,17529.7,0.55
228323,51990,015092-4,903,8334.05,0.2
228324,69891,014118-6,781,3753.78,0.4
228325,69866,003421-5,469,24145.06,0.65
228326,88347,004471-7,531,14679.5,0.29
228327,85603,025331-6,629,14756.53,0.45
228328,49992,002009-5,911,19582.25,0.66
228329,75097,021348-9,504,24606.24,0.32
228330,86008,304004-6,653,10562.52,0.44
228331,90662,021536-8,381,13056.7,0.23
228332,13101,015090-8,628,26729.32,0.46
228333,36990,014009-0,678,4401.65,0.23
228334,79214,009243-6,557,26203.81,0.67
228335,44611,016022-9,987,17172.58,0.26
228336,71495,005354-6,934,22694.75,0.68
228337,61090,091003-1,757,27657.2,0.25
228338,25958,004420-2,368,28276.72,0.31
228339,99786,088004-3,903,23909.54,0.12
228340,82619,008327-5,763,11740.62,0.25
228341,75256,055012-4,532,25514.46,0.55
228342,97292,004451-2,323,17205.18,0.55
228343,77002,035049-4,605,14754.01,0.27
228344,59887,024266-7,992,4200.19,0.18
228345,10339,004341-9,757,18709.12,0.39
228346,60528,025287-5,400,17051.88,0.51
228347,96639,029131-5,600,10210.65,0.34
228348,92624,011080-9,848,6133.48,0.41
228349,79260,011078-7,537,13441.89,0.68
228350,63570,021453-1,447,14336.6,0.12
228351,31643,073013-0,696,28559.41,0.2
228352,70252,011111-2,769,22834.25,0.48
228353,20334,033235-6,960,29191.57,0.35
228354,72977,090011-7,521,12068.56,0.67
228355,10789,004549-7,408,28266.67,0.59
228356,43941,024213-6,367,29631.5,0.2
228357,10552,066016-7,794,29215.71,0.66
228358,29806,001037-5,484,8390.13,0.12
228359,46979,021192-3,924,10435.38,0.18
228360,18823,089020-0,655,25723.97,0.62
228361,41980,034008-1,633,21276.68,0.31
228362,10860,035146-6,517,29602.81,0.41
228363,10290,005017-2,498,29954.28,0.57
228364,52417,009202-9,374,22918.68,0.56
228365,89880,033191-0,302,10553.35,0.44
228366,15870,018023-8,637,10520.41,0.56
228367,43397,095007-6,693,7274.55,0.54
228368,26186,025009-0,675,4895.56,0.57
228369,31016,031057-3,351,23468.94,0.47
228370,79616,033070-1,845,15550.48,0.49
228371,88508,009193-6,448,23643.84,0.58
228372,77296,008099-3,443,29306.65,0.34
228373,21274,001115-0,583,12987.22,0.15
228374,33304,018084-0,840,11398.14,0.58
228375,87702,005481-0,464,22678.37,0.52
228376,78934,001371-4,809,26982.86,0.42
228377,57698,005037-7,753,14269.78,0.29
228378,86051,009113-8,870,26644.92,0.53
228379,24705,011246-1,838,4492.8,0.39
228380,46329,024103-2,639,15704.86,0.24
228381,69736,003315-4,321,17953.91,0.69
228382,62996,001484-2,685,15900.7,0.57
228383,20607,003483-5,427,28171.9,0.25
228384,62956,005296-5,426,28395.91,0.33
228385,40006,024182-2,578,27239.93,0.69
228386,88554,009315-7,909,17969.92,0.4
228387,85352,036002-3,486,15706.15,0.46
228388,30494,089021-9,495,17399.99,0.58
228389,31237,017012-7,763,3459.61,0.14
228390,82367,001155-0,576,17131.98,0.68
228391,50963,015101-7,452,12531.29,0.37
228392,40541,016044-0,540,19896.89,0.35
228393,13447,005467-4,427,25914.46,0.46
228394,81120,003283-2,851,20455.68,0.44
228395,37156,003329-4,894,12598.56,0.35
228396,46559,015202-1,745,22116.51,0.63
228397,31465,016068-7,321,3733.87,0.69
228398,52120,009181-2,785,13346.26,0.34
228399,92753,095011-4,967,20837.5,0.64
228400,20190,004357-5,801,7803.33,0.22
228401,73394,014077-5,820,8763.84,0.42
228402,15335,021372-1,572,29529.78,0.39
228403,64639,025005-8,973,7498.55,0.16
228404,81796,021346-2,690,10022.96,0.34
228405,35778,071035-0,916,20871.23,0.61
228406,91141,011201-1,417,19034.58,0.39
228407,28559,029150-1,882,21334.02,0.57
228408,52341,002140-7,755,12363.78,0.69
228409,30557,009116-2,973,26082.8,0.42
228410,53781,005136-5,658,17296.42,0.45
228411,82257,004393-1,936,27693.33,0.55
228412,30575,022020-5,795,16598.3,0.6
228413,82848,005124-1,811,20972.77,0.27
228414,14616,002194-6,559,25783.33,0.38
228415,74908,011204-6,857,18436.48,0.22
228416,43763,022219-4,579,20858.72,0.38
228417,43124,001169-0,357,17778.4,0.14
